ID,Area,City,Restaurant,Avg Spend,Food type
307,Powai,Mumbai,"27,60,21,75,76",200,Mughlai
308,Powai,Mumbai,8,600,Mughlai
309,Powai,Mumbai,"96,83,43,2,108",900,Mughlai
310,Powai,Mumbai,"42,73,34,111,93",100,Mughlai
311,Powai,Mumbai,"85,84,104,34,20",300,Mughlai
312,Powai,Mumbai,"37,74,58,56",100,Mughlai
313,Powai,Mumbai,"54,24,8,53,94",200,Mughlai
314,Powai,Mumbai,"14,5,35",1100,Mughlai
315,Powai,Mumbai,13,1100,Mughlai
316,Powai,Mumbai,"89,26",1000,Mughlai
317,Powai,Mumbai,"11,67,29",1000,Mughlai
318,Powai,Mumbai,"78,97,10,102",100,Mughlai
319,Powai,Mumbai,"46,81",700,Mughlai
320,Powai,Mumbai,"55,52,35,102,51",200,Mughlai
321,Powai,Mumbai,38,100,Mughlai
322,Powai,Mumbai,"22,86,61",500,Mughlai
323,Powai,Mumbai,55,800,Mughlai
324,Powai,Mumbai,"26,13,5,3,22",700,Mughlai
325,Powai,Mumbai,"17,13,91,96,8",100,Mughlai
326,Powai,Mumbai,"40,62",900,Mughlai
327,Powai,Mumbai,42,700,Mughlai
328,Powai,Mumbai,"76,26,81,89,71",300,Mughlai
329,Powai,Mumbai,"68,54,19,79",400,Mughlai
330,Powai,Mumbai,"12,7,113",1000,Mughlai
331,Powai,Mumbai,"15,91",1100,Mughlai
332,Powai,Mumbai,"78,57,46",900,Mughlai
333,Powai,Mumbai,"101,62",100,Mughlai
334,Powai,Mumbai,"36,30,15,112,32",800,Mughlai
335,Powai,Mumbai,"97,35,22,32,15",1100,Mughlai
336,Powai,Mumbai,"3,81,85,88,95",400,Mughlai
337,Powai,Mumbai,"107,78,28",900,Mughlai
338,Powai,Mumbai,"91,96,37",100,Mughlai
339,Powai,Mumbai,"93,82",600,Mughlai
340,Powai,Mumbai,"73,75",600,Mughlai
341,Powai,Mumbai,"22,0,83,6,65",800,Mughlai
342,Powai,Mumbai,80105,1100,Mughlai
343,Powai,Mumbai,"76,77",400,Mughlai
344,Powai,Mumbai,"56,21,65,113,80",800,Mughlai
345,Powai,Mumbai,"34,59",1100,Mughlai
346,Powai,Mumbai,"0,64,102",500,Mughlai
347,Powai,Mumbai,"16,96,39",600,Mughlai
348,Powai,Mumbai,73,1000,Mughlai
349,Powai,Mumbai,95,700,Mughlai
350,Powai,Mumbai,"42,28",700,Mughlai
351,Powai,Mumbai,"10,19,11,2,57",1100,Mughlai
352,Powai,Mumbai,"58,75,46,84,1",700,Mughlai
353,Powai,Mumbai,"24,57,36,40",700,Mughlai
354,Powai,Mumbai,"47,51,8,37",1100,Mughlai
355,Powai,Mumbai,"74,5,96,88",500,Mughlai
356,Powai,Mumbai,"84,23",300,Mughlai
357,Powai,Mumbai,"87,31,4",700,Mughlai
358,Powai,Mumbai,"7,41,113,52",400,Mughlai
359,Powai,Mumbai,"11,58,75",1100,Mughlai
360,Powai,Mumbai,"76,103,82,22,85",900,Mughlai
361,Powai,Mumbai,"96,81",100,Mughlai
362,Powai,Mumbai,"2,101,47,62",400,Mughlai
363,Powai,Mumbai,"91,113,16",300,Mughlai
364,Powai,Mumbai,"108,97,7,76",100,Mughlai
365,Powai,Mumbai,53,700,Mughlai
366,Powai,Mumbai,"53,66",300,Mughlai
367,Powai,Mumbai,"49,95",500,Mughlai
368,Powai,Mumbai,92,500,Mughlai
369,Powai,Mumbai,110,300,Mughlai
370,Powai,Mumbai,"7,6,104",200,Mughlai
371,Powai,Mumbai,"47,108,99",300,Mughlai
372,Powai,Mumbai,"44,70,24",500,Mughlai
373,Powai,Mumbai,"24,67,10",1000,Mughlai
374,Powai,Mumbai,"76,33",200,Mughlai
375,Powai,Mumbai,"29,39,50",600,Mughlai
376,Powai,Mumbai,"79,91,46,14",700,Mughlai
377,Powai,Mumbai,"3,21,69,86",500,Mughlai
378,Powai,Mumbai,"10,50,91,71",200,Mughlai
379,Powai,Mumbai,50,1000,Mughlai
380,Powai,Mumbai,"101,41",200,Mughlai
381,Powai,Mumbai,"19,49,93,110,42",700,Mughlai
382,Powai,Mumbai,"89,106,23,65",600,Mughlai
383,Powai,Mumbai,"7,40",1000,Mughlai
384,Powai,Mumbai,"18,0,56,5",800,Mughlai
385,Powai,Mumbai,"109,86,67",200,Mughlai
386,Powai,Mumbai,"45,67,43,54,96",1000,Mughlai
387,Powai,Mumbai,83,200,Mughlai
388,Powai,Mumbai,19,1100,Mughlai
389,Powai,Mumbai,"42,36,67",400,Mughlai
390,Powai,Mumbai,"96,54",200,Mughlai
391,Powai,Mumbai,109,600,Mughlai
392,Powai,Mumbai,"47,25,67,39,103",1100,Mughlai
393,Powai,Mumbai,"55,62,21",400,Mughlai
394,Powai,Mumbai,"60,69,78,31,64",700,Mughlai
395,Powai,Mumbai,78,1100,Mughlai
396,Powai,Mumbai,"8,95,33,35,23",400,Mughlai
397,Powai,Mumbai,104,500,Mughlai
398,Powai,Mumbai,"49,11",200,Mughlai
399,Powai,Mumbai,48,900,Mughlai
400,Powai,Mumbai,"43,28,48",800,Mughlai
401,Powai,Mumbai,"59,8",500,Mughlai
402,Powai,Mumbai,"49,23",300,Mughlai
403,Powai,Mumbai,104,1100,Mughlai
404,Powai,Mumbai,"64,10",300,Mughlai
405,Powai,Mumbai,"80,46,107,29",200,Mughlai
406,Powai,Mumbai,"52,13,12,62,79",1100,Mughlai
407,Powai,Mumbai,"96,33,34,31",1100,Mughlai
408,Powai,Mumbai,"50,64,43",800,Mughlai
409,Powai,Mumbai,40,600,Mughlai
410,Powai,Mumbai,"27,98,91,65,52",1000,Mughlai
411,Powai,Mumbai,"76,64,98",600,Mughlai
412,Powai,Mumbai,"51,12,109,3,68",400,Mughlai
413,Powai,Mumbai,"72,87,0,22",1100,Mughlai
414,Powai,Mumbai,"19,31,38",800,Mughlai
415,Powai,Mumbai,"45,31,42,95,32",100,Mughlai
416,Powai,Mumbai,2,600,Mughlai
417,Powai,Mumbai,108,1000,Mughlai
418,Powai,Mumbai,"0,24,96,63",1100,Mughlai
419,Powai,Mumbai,"103,80",1100,Mughlai
420,Powai,Mumbai,"103,12,60,69",100,Mughlai
421,Powai,Mumbai,"88,112,3,40",600,Mughlai
422,Powai,Mumbai,"31,55",100,Mughlai
423,Powai,Mumbai,"103,35,107",200,Mughlai
424,Powai,Mumbai,"18,56,80",300,Mughlai
425,Powai,Mumbai,"3,39,63,51,35",300,Mughlai
426,Powai,Mumbai,58,800,Mughlai
427,Powai,Mumbai,"21,44",600,Mughlai
428,Powai,Mumbai,"74,90,85,68",300,Mughlai
429,Powai,Mumbai,"93,8,46,0,42",200,Mughlai
430,Powai,Mumbai,"65,0,96,54,49",100,Mughlai
431,Powai,Mumbai,"48,19,90,62,74",800,Mughlai
432,Powai,Mumbai,"55,83",300,Mughlai
433,Powai,Mumbai,"100,76",1100,Mughlai
434,Powai,Mumbai,33,800,Mughlai
435,Powai,Mumbai,111,900,Mughlai
436,Powai,Mumbai,12,700,Mughlai
437,Powai,Mumbai,"105,3,68",900,Mughlai
438,Powai,Mumbai,"48,96,4",800,Mughlai
439,Powai,Mumbai,106,300,Mughlai
440,Powai,Mumbai,"41,2,12,19,67",200,Mughlai
441,Powai,Mumbai,"110,43",400,Mughlai
442,Powai,Mumbai,"9,58,61,109,84",1000,Mughlai
443,Powai,Mumbai,"71,75",1100,Mughlai
444,Powai,Mumbai,"53,99",500,Mughlai
445,Powai,Mumbai,107,700,Mughlai
446,Powai,Mumbai,"83,76,70,64",200,Mughlai
447,Powai,Mumbai,"85,65,20,30,23",400,Mughlai
448,Powai,Mumbai,"90,21,25,49",900,Mughlai
449,Powai,Mumbai,"48,109,3,11",1100,Mughlai
450,Powai,Mumbai,"106,44,104",200,Mughlai
451,Powai,Mumbai,"71,30",800,Mughlai
452,Powai,Mumbai,"42,74,113",200,Mughlai
453,Powai,Mumbai,"17,35",200,Mughlai
454,Powai,Mumbai,"108,64,19",200,Mughlai
455,Powai,Mumbai,"56,59,5,1,92",200,Mughlai
456,Powai,Mumbai,"113,67",400,Mughlai
457,Powai,Mumbai,38,200,Mughlai
458,Powai,Mumbai,"12,20,94",900,Mughlai
459,Powai,Mumbai,"55,92,24,15",300,Mughlai
460,Powai,Mumbai,"29,12,105,20,74",100,Mughlai
461,Powai,Mumbai,"83,62,26",1100,Mughlai
462,Powai,Mumbai,"100,32,68,96,44",100,Mughlai
463,Powai,Mumbai,"56,87,5",900,Mughlai
464,Powai,Mumbai,"98,4,43,51",200,Mughlai
465,Powai,Mumbai,"12,73",100,Mughlai
466,Powai,Mumbai,"61,4",800,Mughlai
467,Powai,Mumbai,"54,29,48,87",400,Mughlai
468,Powai,Mumbai,93106,1000,Mughlai
469,Powai,Mumbai,96,300,Mughlai
470,Powai,Mumbai,"111,78,61,14",900,Mughlai
471,Powai,Mumbai,"109,74",600,Mughlai
472,Powai,Mumbai,"64,22,86",300,Mughlai
473,Powai,Mumbai,38,600,Mughlai
474,Powai,Mumbai,"110,37,21",1100,Mughlai
475,Powai,Mumbai,"82,7,28",1000,Mughlai
476,Powai,Mumbai,"9,50",1100,Mughlai
477,Powai,Mumbai,"113,56,9",400,Mughlai
478,Powai,Mumbai,"79,18,69",100,Mughlai
479,Powai,Mumbai,"44,42",400,Mughlai
480,Powai,Mumbai,"17,69,79,14",800,Mughlai
481,Powai,Mumbai,"71,96,50,113,87",600,Mughlai
482,Powai,Mumbai,"38,30,111",600,Mughlai
483,Powai,Mumbai,"47,88,33,84,102",1100,Mughlai
484,Powai,Mumbai,"110,26,28",1100,Mughlai
485,Powai,Mumbai,"85,69",800,Mughlai
486,Powai,Mumbai,"79,96",1000,Mughlai
487,Powai,Mumbai,22,1100,Mughlai
488,Powai,Mumbai,"22,33,112,43,14",700,Mughlai
489,Powai,Mumbai,"32,88,39",100,Mughlai
490,Powai,Mumbai,"14,108,74,111,36",1100,Mughlai
491,Powai,Mumbai,"65,43,100",1100,Mughlai
492,Powai,Mumbai,"1,66,94",1100,Mughlai
493,Powai,Mumbai,83,300,Mughlai
494,Powai,Mumbai,"3,59,23",700,Mughlai
495,Powai,Mumbai,"95,1",700,Mughlai
496,Powai,Mumbai,"6,40",1000,Mughlai
497,Powai,Mumbai,"41,97",800,Mughlai
498,Powai,Mumbai,"113,84,18",500,Mughlai
499,Powai,Mumbai,"83,64",500,Mughlai
500,Powai,Mumbai,"109,12",900,Mughlai
501,Powai,Mumbai,"11,40,39,41",700,Mughlai
502,Powai,Mumbai,"101,38,33,59,76",1000,Mughlai
503,Powai,Mumbai,"52,1",300,Mughlai
504,Powai,Mumbai,"25,97",500,Mughlai
505,Powai,Mumbai,"86,92,80,74",300,Mughlai
506,Powai,Mumbai,46,700,Mughlai
507,Powai,Mumbai,"87,15,35",500,Mughlai
508,Powai,Mumbai,"52,33,19",1000,Mughlai
509,Powai,Mumbai,"6,77,26",300,Mughlai
510,Powai,Mumbai,"34,103,106,56",700,Mughlai
511,Powai,Mumbai,"57,6,67",400,Mughlai
512,Powai,Mumbai,"18,4,91,68,17",400,Mughlai
513,Powai,Mumbai,73,400,Mughlai
514,Powai,Mumbai,"96,60",500,Mughlai
515,Powai,Mumbai,4,800,Mughlai
516,Powai,Mumbai,"87,28,54",200,Mughlai
